[2021-05-16 15:44:19.817] Starting up round ID 10.
 - -------------------------
[2021-05-16 16:37:23.100] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Majory Otis, na escuta?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (239, 236, 3))
[2021-05-16 16:37:43.481] TCOMMS: N0fun/(Makenna Coldsmith) [Common] (spans:  ) "Hm..." (language: Galactic Common) (Village (165, 97, 2))
[2021-05-16 16:37:55.392] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Todos pro subterraneo, no salão. Agora!" (language: Galactic Common) (Brotherhood of Steel Operations Department (226, 230, 3))
[2021-05-16 16:38:18.340] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Star Knight?" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 228, 3))
[2021-05-16 16:38:22.084] TCOMMS: Pudinsboy/(Jeffrey Keener) [BOS] (spans:  ) "Oi" (language: Galactic Common) (Brotherhood of Steel (162, 237, 2))
[2021-05-16 16:38:28.715] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Desça para o Bunker" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 236, 3))
[2021-05-16 16:38:34.214] TCOMMS: Pudinsboy/(Jeffrey Keener) [BOS] (spans:  ) "Ok" (language: Galactic Common) (Brotherhood of Steel (163, 232, 2))
[2021-05-16 16:40:51.037] TCOMMS: zero9e1/(Meryl Hegarty) [BOS] (spans:  ) "Eu estou bem assim" (language: Galactic Common) (Brotherhood of Steel Operations Department (227, 237, 3))
[2021-05-16 16:41:16.582] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Preciso de informaçoes do caminho que levem ate as vaults" (language: Galactic Common) (Brotherhood of Steel (169, 219, 2))
[2021-05-16 16:41:28.685] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Abrindo o portao" (language: Galactic Common) (Brotherhood of Steel (169, 219, 2))
[2021-05-16 16:41:33.901] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se que me engano, a oeste fica a vault." (language: Galactic Common) (Brotherhood of Steel Reactor (218, 207, 3))
[2021-05-16 16:41:47.540] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ele é dentro da terra, não tenho muitas informações a respeito." (language: Galactic Common) (Brotherhood of Steel Reactor (218, 207, 3))
[2021-05-16 16:42:13.322] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Encontrem todo tipo de informação e reportem." (language: Galactic Common) (Brotherhood of Steel Reactor (217, 208, 3))
[2021-05-16 16:42:49.309] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "As vaults sao oque mesmo?" (language: Galactic Common) (Wasteland (157, 183, 2))
[2021-05-16 16:43:22.256] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "São abrigos subterraneos criados para abrigar os cidadões para o perigo da grande guerra" (language: Galactic Common) (Brotherhood of Steel Reactor (217, 208, 3))
[2021-05-16 16:43:30.323] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Que ocrreu em 2077" (language: Galactic Common) (Brotherhood of Steel Reactor (217, 208, 3))
[2021-05-16 16:43:39.866] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Procure locais que levem ao vaul" (language: Galactic Common) (Brotherhood of Steel Reactor (217, 209, 3))
[2021-05-16 16:43:45.731] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Vault..." (language: Galactic Common) (Brotherhood of Steel Reactor (217, 209, 3))
