[2021-05-22 22:06:27.723] Starting up round ID 29.
 - -------------------------
[2021-05-22 22:51:02.079] TCOMMS: alexalbright/(Darios Scalicius) [Legion] (spans:  ) "Serio que morreu tudo mundo pra bixo?" (language: Galactic Common) (Legion (231, 31, 2))
[2021-05-22 22:52:55.784] TCOMMS: alexalbright/(Darios Scalicius) [Legion] (spans:  ) "Tem ninguem vivo?" (language: Galactic Common) (Wasteland (207, 60, 2))
[2021-05-22 22:54:54.749] TCOMMS: Shirozinha/(Tio Osso) [BOS] (spans:  ) "Ja volto" (language: Galactic Common) (Brotherhood of Steel (164, 227, 2))
[2021-05-22 22:55:04.258] TCOMMS: Shirozinha/(Tio Osso) [BOS] (spans:  ) "Irei fica sumido por alguns segundos" (language: Galactic Common) (Brotherhood of Steel (164, 227, 2))
[2021-05-22 22:56:22.931] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Portões." (language: Galactic Common) (Wasteland (170, 214, 2))
[2021-05-22 23:00:16.749] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Elder tá ai?" (language: Galactic Common) (Wasteland (170, 210, 2))
[2021-05-22 23:01:22.015] TCOMMS: Shirozinha/(Tio Osso) [BOS] (spans:  ) "Eu estou entrando com uma caixinha nao atira por favor" (language: Galactic Common) (Brotherhood of Steel (124, 238, 2))
[2021-05-22 23:01:32.487] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Elder?" (language: Galactic Common) (Brotherhood of Steel (144, 233, 2))
[2021-05-22 23:01:37.668] TCOMMS: Dantesousa/(Declan Smith) [BOS] (spans:  ) "Sim?" (language: Galactic Common) (Bunker (43, 238, 4))
[2021-05-22 23:01:57.140] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Tenho um inimigo" (language: Galactic Common) (Brotherhood of Steel (154, 237, 2))
[2021-05-22 23:02:20.252] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Não consigo tirar o chão pra fazer as defesas" (language: Galactic Common) (Brotherhood of Steel (169, 227, 2))
[2021-05-22 23:03:20.425] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "To cego que porra é essa?" (language: Galactic Common) (Wasteland (184, 187, 2))
[2021-05-22 23:03:31.180] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Merda usei welding tool" (language: Galactic Common) (Wasteland (177, 198, 2))
[2021-05-22 23:03:35.897] TCOMMS: Dantesousa/(Declan Smith) [BOS] (spans:  ) "Cuidado" (language: Galactic Common) (Bunker (39, 239, 4))
[2021-05-22 23:03:39.911] TCOMMS: Dantesousa/(Declan Smith) [BOS] (spans:  ) "Jaja eu volto para ajudar perae" (language: Galactic Common) (Bunker (39, 239, 4))
[2021-05-22 23:03:59.336] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Alguem prescisa minerar" (language: Galactic Common) (Brotherhood of Steel (162, 237, 2))
[2021-05-22 23:04:04.189] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Quem vai?" (language: Galactic Common) (Brotherhood of Steel (160, 237, 2))
[2021-05-22 23:04:20.582] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Eu vou proteger o minerador." (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 239, 3))
[2021-05-22 23:04:31.256] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "A tá" (language: Galactic Common) (Brotherhood of Steel (171, 220, 2))
[2021-05-22 23:04:34.114] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Ossinho está ai?" (language: Galactic Common) (Brotherhood of Steel (136, 237, 2))
[2021-05-22 23:04:59.791] TCOMMS: alexalbright/(Darios Scalicius) [Legion] (spans:  ) "Alguem?" (language: Galactic Common) (Wasteland (165, 68, 2))
[2021-05-22 23:05:55.271] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  yell ) "AHHH fiquei gorda!!!!!" (language: Galactic Common) (Followers of the Apocalypse (85, 56, 2))
[2021-05-22 23:10:31.377] TCOMMS: alexalbright/(Darios Scalicius) [Legion] (spans:  ) "Alguem?" (language: Galactic Common) (Wasteland (128, 70, 2))
[2021-05-22 23:11:00.482] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "To com fominha" (language: Galactic Common) (Brotherhood of Steel (162, 237, 2))
[2021-05-22 23:13:28.444] TCOMMS: XXLucasWesleyXx/(Will Riker) [BOS] (spans:  ) "Aqui é o knight will riker, informamos que encontramos tecnologia próxima a base" (language: Galactic Common) (Village (155, 178, 2))
[2021-05-22 23:13:43.586] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Pre-guerra?" (language: Galactic Common) (Brotherhood of Steel (150, 250, 2))
