[2021-05-16 03:43:50.151] Starting up round ID 8.
 - -------------------------
[2021-05-16 04:37:01.009] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Mando o embora, ou digo algo?" (language: Galactic Common) (Brotherhood of Steel (166, 222, 2))
[2021-05-16 04:37:08.367] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Chame-o para uma audiência." (language: Galactic Common) (Brotherhood of Steel Operations Department (227, 236, 3))
[2021-05-16 04:37:18.143] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo." (language: Galactic Common) (Brotherhood of Steel (169, 220, 2))
[2021-05-16 04:37:22.258] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Veremos se o mesmo é digno" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (221, 224, 3))
[2021-05-16 04:37:35.395] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Sem sinal do marshal nos tuneis" (language: Galactic Common) (Tunnel (193, 134, 3))
[2021-05-16 04:37:46.993] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Apenas tem ninhos de ghouls e etc" (language: Galactic Common) (Tunnel (193, 134, 3))
[2021-05-16 04:38:19.494] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Aliás, qual o nome dele?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 226, 3))
[2021-05-16 04:38:33.037] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Um momento, chefe." (language: Galactic Common) (Brotherhood of Steel (166, 216, 2))
[2021-05-16 04:38:56.583] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ringa copas, chefe paladino." (language: Galactic Common) (Brotherhood of Steel (166, 216, 2))
[2021-05-16 04:39:12.531] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Ok, traga-o" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 226, 3))
[2021-05-16 04:39:36.179] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ok, chefe paladino." (language: Galactic Common) (Brotherhood of Steel (166, 216, 2))
[2021-05-16 04:40:28.927] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "O caso dos arquivos, em específico os livros. É pior do que esperado. Não há gravações anteriores destes." (language: Galactic Common) (Brotherhood of Steel RnD Department (243, 199, 3))
[2021-05-16 04:40:32.429] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Tudo havia sido perdido." (language: Galactic Common) (Brotherhood of Steel RnD Department (243, 199, 3))
[2021-05-16 04:40:43.398] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo, scribe." (language: Galactic Common) (Brotherhood of Steel (146, 238, 2))
[2021-05-16 04:40:55.314] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se puder fazer algo, faça se possivel." (language: Galactic Common) (Brotherhood of Steel (146, 238, 2))
[2021-05-16 04:40:59.473] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se não, deixe." (language: Galactic Common) (Brotherhood of Steel (146, 238, 2))
[2021-05-16 04:41:19.814] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Fazer, é possível. Criação de livros a partir dos novos projetos para serem dados." (language: Galactic Common) (Brotherhood of Steel RnD Department (242, 199, 3))
[2021-05-16 04:41:41.851] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Faça isso." (language: Galactic Common) (Brotherhood of Steel (146, 238, 2))
[2021-05-16 04:41:50.623] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Entendido." (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 200, 3))
[2021-05-16 04:42:23.122] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Paladino, situação da missão." (language: Galactic Common) (Brotherhood of Steel (146, 238, 2))
[2021-05-16 04:42:28.013] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Nada" (language: Galactic Common) (Wasteland (121, 102, 2))
[2021-05-16 04:42:38.532] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo, continue e colete informações." (language: Galactic Common) (Brotherhood of Steel (151, 244, 2))
[2021-05-16 04:42:48.851] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Qualquer informação é bem vinda." (language: Galactic Common) (Brotherhood of Steel (151, 239, 2))
[2021-05-16 04:47:00.157] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Chefe paladino, guardei o equipamento do mesmo na ala da prisão para manter seguro." (language: Galactic Common) (Brotherhood of Steel Operations Department (244, 233, 3))
[2021-05-16 04:47:09.608] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Certo." (language: Galactic Common) (Brotherhood of Steel Operations Department (241, 247, 3))
[2021-05-16 04:47:58.717] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Entrei em um lugar onde não era pra entrar hehe" (language: Galactic Common) (Brotherhood of Steel Mining (222, 198, 3))
[2021-05-16 04:49:33.354] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Situação, paladino." (language: Galactic Common) (Brotherhood of Steel Operations Department (223, 226, 3))
[2021-05-16 04:49:51.621] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Nada ainda...apenas mutantes mortos na cidade" (language: Galactic Common) (Wasteland (99, 113, 2))
[2021-05-16 04:50:03.491] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "E o corpo de um civil desconheçido" (language: Galactic Common) (Wasteland (99, 113, 2))
[2021-05-16 04:50:16.789] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo, pode voltar para o QG paladino." (language: Galactic Common) (Brotherhood of Steel Operations Department (239, 241, 3))
[2021-05-16 04:50:24.803] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Veremos o proseguimento da missão." (language: Galactic Common) (Brotherhood of Steel Operations Department (239, 241, 3))
[2021-05-16 04:50:30.883] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Afirmativo" (language: Galactic Common) (Wasteland (144, 121, 2))
[2021-05-16 04:50:41.940] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "E trás comida se possivel hehe" (language: Galactic Common) (Brotherhood of Steel Operations Department (239, 241, 3))
[2021-05-16 04:51:36.096] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ao chegar no portão da base, avise" (language: Galactic Common) (Brotherhood of Steel (166, 216, 2))
[2021-05-16 04:55:17.423] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Estou no portao" (language: Galactic Common) (Wasteland (170, 213, 2))
[2021-05-16 04:55:24.467] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "E cheio de comida" (language: Galactic Common) (Wasteland (170, 213, 2))
